
       filename        moves  n seconds
----------------------------------------------------------
        puzzle00.txt     0    10 0.000000
    puzzle2x2-05.txt     5     2 0.000000
    puzzle2x2-03.txt     3     2 0.000000
    puzzle2x2-02.txt     2     2 0.000000
    puzzle2x2-04.txt     4     2 0.000000
        puzzle02.txt     2     9 0.000000
    puzzle2x2-06.txt     6     2 0.000000
        puzzle01.txt     1     2 0.000000
    puzzle2x2-00.txt     0     2 0.000000
    puzzle2x2-01.txt     1     2 0.000000
    puzzle3x3-07.txt     7     3 0.001000
    puzzle3x3-00.txt     0     3 0.000000
    puzzle3x3-09.txt     9     3 0.000000
        puzzle03.txt     3     2 0.001000
    puzzle3x3-01.txt     1     3 0.001000
    puzzle3x3-05.txt     5     3 0.000000
    puzzle3x3-03.txt     3     3 0.000000
    puzzle3x3-08.txt     8     3 0.001000
    puzzle3x3-06.txt     6     3 0.000000
    puzzle3x3-02.txt     2     3 0.000000
    puzzle3x3-04.txt     4     3 0.000000
    puzzle3x3-14.txt    14     3 0.001000
    puzzle3x3-10.txt    10     3 0.001000
    puzzle3x3-20.txt    20     3 0.013000
    puzzle3x3-15.txt    15     3 0.002000
    puzzle3x3-19.txt    19     3 0.000000
    puzzle3x3-11.txt    11     3 0.000000
    puzzle3x3-16.txt    16     3 0.005000
    puzzle3x3-21.txt    21     3 0.005000
    puzzle3x3-13.txt    13     3 0.000000
    puzzle3x3-12.txt    12     3 0.001000
    puzzle3x3-18.txt    18     3 0.004000
    puzzle3x3-17.txt    17     3 0.002000    
    puzzle3x3-24.txt    24     3 0.023000
    puzzle3x3-26.txt    26     3 0.012000
    puzzle3x3-28.txt    28     3 0.056000
    puzzle3x3-25.txt    25     3 0.033000
    puzzle3x3-23.txt    23     3 0.003000
    puzzle3x3-27.txt    27     3 0.049000
    puzzle3x3-31.txt    31     3 0.032000
    puzzle3x3-22.txt    22     3 0.003000
    puzzle3x3-29.txt    29     3 0.011000
    puzzle3x3-30.txt    30     3 0.036000   
